Campaign,Campaign Type,Campaign Daily Budget,Networks,Bid Strategy Type,Target CPA,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
LifeEvents-Marriage - Upper - v1,,,,,,Marriage,,,,Responsive search ad,Search Marriage Records,Public Marriage Records,Marriage Record Lookup,Marriage License Search,Find Out Who Got Married,Marriage Certificates,Check Marital Status,Search Records by Name,Enter a Name to Start,State Marriage Records,"Search public marriage records by name. Nationwide, local & state.",Find out who got married and when. Enter a name to start.,Marriage records and certificates - free to search.,Look up marriage records and licenses across all states.,marriage,records,https://idlookup.ai/name/landing/v11?shns=le-marriage-up,Enabled
ReversePhone - v1,Search,75.00,Google search,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,Paused
ReversePhone - v1,,,,,,Reverse Phone,2.00,,,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,reverse phone lookup,Phrase,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,reverse phone search,Phrase,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,reverse lookup,Phrase,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,phone owner lookup,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,reverse phone lookup service,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,reverse cell look up,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,who called,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,who is calling me,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,what number is this,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,whose number is this,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,caller id,Broad,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,reverse phone book,Phrase,,,,,,,,,,,,,,,,,,,Enabled
ReversePhone - v1,,,,,,Reverse Phone,,,,Responsive search ad,Reverse Phone Lookup,Who Called Me?,Find Out Who's Calling,Reverse Phone Search,Identify Unknown Callers,Phone Number Lookup,Search by Phone Number,Enter a Number to Start,Whose Number Is This?,Look Up a Phone Number,Enter a phone number to see the owner's name and details. Fast and easy.,Find out who's calling. Reverse lookup by phone number.,Identify unknown and spam callers. Search any phone number.,Look up any US phone number. Enter a number to start.,reverse-phone,lookup,https://idlookup.ai/phone/landing/v2?shns=revphone,Enabled
