Row Type,Campaign,Campaign Status,Campaign Type,Networks,Daily Budget,Budget Type,Bid Strategy Type,Target CPA,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,public records,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,public records,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,public records search,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,public records search,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,public records websites,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,public records name,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,public record finder,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,free background check,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,background check free,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,cheap background check,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,order background check,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,background check price,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,$1 background check,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,background check,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,background check,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,criminal records,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,criminal reports,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,criminal records search,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,criminal background check,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,free public criminal record check,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,free criminal records,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,public criminal record lookup,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,criminal record search,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,
Keyword,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,criminal records,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,
Responsive search ad,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,,,Paused,Public Records Search,Search By Name,Find Public Info,View Available Records,IDLookup.ai,Fast Record Lookup,,,,,,,,,,Search by name to find available public record and contact details.,Use IDLookup.ai to look up possible addresses phone numbers and records.,,,https://idlookup.ai/name/landing/v11?shns=1,public-records,search
Responsive search ad,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Public Records,Paused,1.75,,,Paused,Search Public Records,Name Lookup Online,Find Public Data,People Record Search,Start With A Name,IDLookup.ai,,,,,,,,,,Start with a name and search available records from public data sources.,Find possible contact details and public records in a simple lookup flow.,,,https://idlookup.ai/name/landing/v11?shns=1,records,lookup
Responsive search ad,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,,,Paused,Background Check Search,Search By Name,Lookup Public Records,Find Available Info,IDLookup.ai,Fast Name Lookup,,,,,,,,,,Search by name for available public records and possible contact details.,Use IDLookup.ai to start a background-check style public records search.,,,https://idlookup.ai/name/landing/v11?shns=1,background,search
Responsive search ad,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Background Check,Paused,2.00,,,Paused,Name Background Search,Public Records Lookup,Search Someone Online,Find Contact Details,Simple Name Search,IDLookup.ai,,,,,,,,,,Enter a name to search available public data and possible records.,Find possible addresses phone numbers and public record details.,,,https://idlookup.ai/name/landing/v11?shns=1,background,lookup
Responsive search ad,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,,,Paused,Criminal Records Search,Search By Name,Public Record Lookup,Find Available Records,IDLookup.ai,Name Lookup Online,,,,,,,,,,Search by name for available public record details from online sources.,Start a public records lookup to find possible record and contact details.,,,https://idlookup.ai/name/landing/v11?shns=1,criminal,search
Responsive search ad,IDL - Public Records and Background Checks,Paused,Search,Google Search,50,Daily,Maximize conversions,20,Criminal Records,Paused,2.00,,,Paused,Search Criminal Records,Public Records Online,Lookup By Name,Find Public Info,Start With A Name,IDLookup.ai,,,,,,,,,,Use IDLookup.ai to search available public data by name.,Look up possible records addresses phone numbers and public details.,,,https://idlookup.ai/name/landing/v11?shns=1,records,criminal
